date,store_nbr,transactions
1/7/2013,50,2371
1/7/2013,51,1637
1/7/2013,54,890
1/8/2013,1,1869
1/8/2013,2,1856
1/8/2013,3,2826
1/8/2013,4,1397
1/8/2013,5,1504
1/8/2013,6,1555
1/8/2013,7,1524
1/8/2013,8,2639
1/8/2013,9,2206
1/8/2013,10,1100
1/8/2013,11,2388
1/8/2013,12,1130
1/8/2013,13,879
1/8/2013,14,1673
1/8/2013,15,1330
1/8/2013,16,1009
1/8/2013,17,1197
1/8/2013,18,1388
1/8/2013,19,1013
1/8/2013,23,1143
1/8/2013,24,2349
1/8/2013,25,626
1/8/2013,26,729
1/8/2013,27,999
1/8/2013,28,877
1/8/2013,30,701
1/8/2013,31,1200
1/8/2013,32,641
1/8/2013,33,1164
1/8/2013,34,2272
1/8/2013,35,555
1/8/2013,37,1366
1/8/2013,38,1331
1/8/2013,39,1417
1/8/2013,40,1090
1/8/2013,41,764
1/8/2013,43,1155
1/8/2013,44,3593
1/8/2013,45,3102
1/8/2013,46,3061
1/8/2013,47,3185
1/8/2013,48,2320
1/8/2013,49,1609
1/8/2013,50,2251
1/8/2013,51,1613
1/8/2013,54,729
1/9/2013,1,1910
1/9/2013,2,1975
1/9/2013,3,2932
1/9/2013,4,1533
1/9/2013,5,1513
1/9/2013,6,1702
1/9/2013,7,1525
1/9/2013,8,2802
1/9/2013,9,1976
1/9/2013,10,930
1/9/2013,11,2230
1/9/2013,12,1108
1/9/2013,13,831
1/9/2013,14,1591
1/9/2013,15,1276
1/9/2013,16,923
1/9/2013,17,1110
1/9/2013,18,1206
1/9/2013,19,960
1/9/2013,23,1127
1/9/2013,24,2354
1/9/2013,25,755
1/9/2013,26,738
1/9/2013,27,1033
1/9/2013,28,645
1/9/2013,30,627
1/9/2013,31,1007
1/9/2013,32,591
1/9/2013,33,976
1/9/2013,34,2101
1/9/2013,35,539
1/9/2013,37,1544
1/9/2013,38,1525
1/9/2013,39,1219
1/9/2013,40,939
1/9/2013,41,749
1/9/2013,43,1000
1/9/2013,44,4006
1/9/2013,45,3268
1/9/2013,46,2989
1/9/2013,47,3370
1/9/2013,48,2316
1/9/2013,49,1776
1/9/2013,50,2228
1/9/2013,51,1786
1/9/2013,54,730
1/10/2013,1,1679
1/10/2013,2,1761
1/10/2013,3,2649
1/10/2013,4,1326
1/10/2013,5,1449
1/10/2013,6,1422
1/10/2013,7,1487
1/10/2013,8,2545
1/10/2013,9,1942
1/10/2013,10,925
1/10/2013,11,2274
1/10/2013,12,1121
1/10/2013,13,877
1/10/2013,14,1423
1/10/2013,15,1317
1/10/2013,16,889
1/10/2013,17,1141
1/10/2013,18,1219
1/10/2013,19,960
1/10/2013,23,1024
1/10/2013,24,2226
1/10/2013,25,632
1/10/2013,26,710
1/10/2013,27,900
1/10/2013,28,700
1/10/2013,30,693
1/10/2013,31,1001
1/10/2013,32,603
1/10/2013,33,868
1/10/2013,34,2079
1/10/2013,35,553
1/10/2013,37,1323
1/10/2013,38,1323
1/10/2013,39,1209
1/10/2013,40,944
1/10/2013,41,649
1/10/2013,43,967
1/10/2013,44,3323
1/10/2013,45,2697
1/10/2013,46,2627
1/10/2013,47,2982
1/10/2013,48,2212
1/10/2013,49,1481
1/10/2013,50,2052
1/10/2013,51,1515
1/10/2013,54,684
1/11/2013,1,1813
1/11/2013,2,1786
1/11/2013,3,2954
1/11/2013,4,1398
1/11/2013,5,1446
1/11/2013,6,1563
1/11/2013,7,1497
1/11/2013,8,2858
1/11/2013,9,1750
1/11/2013,10,877
1/11/2013,11,2053
1/11/2013,12,1072
1/11/2013,13,825
1/11/2013,14,1412
1/11/2013,15,1168
1/11/2013,16,912
1/11/2013,17,986
1/11/2013,18,1221
1/11/2013,19,999
1/11/2013,23,1046
1/11/2013,24,2350
1/11/2013,25,979
1/11/2013,26,725
1/11/2013,27,856
1/11/2013,28,618
1/11/2013,30,623
1/11/2013,31,1011
1/11/2013,32,641
1/11/2013,33,893
1/11/2013,34,2407
1/11/2013,35,538
1/11/2013,37,1447
1/11/2013,38,1557
1/11/2013,39,1163
1/11/2013,40,970
1/11/2013,41,686
1/11/2013,43,1264
1/11/2013,44,3873
1/11/2013,45,3083
1/11/2013,46,2892
1/11/2013,47,3312
1/11/2013,48,2396
1/11/2013,49,1768
1/11/2013,50,2226
1/11/2013,51,1658
1/11/2013,54,766
1/12/2013,1,1473
1/12/2013,2,1998
1/12/2013,3,3407
1/12/2013,4,1543
1/12/2013,5,1553
1/12/2013,6,2020
1/12/2013,7,1416
1/12/2013,8,2936
1/12/2013,9,2271
1/12/2013,10,1120
1/12/2013,11,2603
1/12/2013,12,1241
1/12/2013,13,1179
1/12/2013,14,1939
1/12/2013,15,1396
1/12/2013,16,1045
1/12/2013,17,1385
1/12/2013,18,1217
1/12/2013,19,1521
1/12/2013,23,1208
1/12/2013,24,2346
1/12/2013,25,1368
1/12/2013,26,907
1/12/2013,27,1330
1/12/2013,28,890
1/12/2013,30,702
1/12/2013,31,1262
1/12/2013,32,822
1/12/2013,33,1108
1/12/2013,34,2591
1/12/2013,35,750
1/12/2013,37,1622
1/12/2013,38,2142
1/12/2013,39,1518
1/12/2013,40,1039
1/12/2013,41,861
1/12/2013,43,1142
1/12/2013,44,4423
1/12/2013,45,3927
1/12/2013,46,4263
1/12/2013,47,4278
1/12/2013,48,3355
1/12/2013,49,2309
1/12/2013,50,3258
1/12/2013,51,1873
1/12/2013,54,954
1/13/2013,1,542
1/13/2013,2,1988
1/13/2013,3,3217
1/13/2013,4,1873
1/13/2013,5,1510
1/13/2013,6,2219
1/13/2013,7,1328
1/13/2013,8,2765
1/13/2013,9,2457
1/13/2013,10,1013
1/13/2013,11,2875
1/13/2013,12,1166
1/13/2013,13,858
1/13/2013,14,1317
1/13/2013,15,1122
1/13/2013,16,1260
1/13/2013,17,1441
1/13/2013,18,1376
1/13/2013,19,1269
1/13/2013,23,1187
1/13/2013,24,2001
1/13/2013,25,748
1/13/2013,26,963
1/13/2013,27,1575
1/13/2013,28,1197
1/13/2013,30,686
1/13/2013,31,1467
1/13/2013,32,753
1/13/2013,33,1207
1/13/2013,34,2381
1/13/2013,35,657
1/13/2013,37,1210
1/13/2013,38,2256
1/13/2013,39,1630
1/13/2013,40,1048
1/13/2013,41,1120
1/13/2013,43,1145
1/13/2013,44,4676
1/13/2013,45,4345
1/13/2013,46,4713
1/13/2013,47,4796
1/13/2013,48,3993
1/13/2013,49,2662
1/13/2013,50,3261
1/13/2013,51,1808
1/13/2013,54,1225
1/14/2013,1,1780
1/14/2013,2,1713
1/14/2013,3,2785
1/14/2013,4,1321
1/14/2013,5,1457
1/14/2013,6,1545
1/14/2013,7,1629
1/14/2013,8,2622
1/14/2013,9,2009
1/14/2013,10,1000
1/14/2013,11,2056
1/14/2013,12,1147
1/14/2013,13,869
1/14/2013,14,1700
1/14/2013,15,1368
1/14/2013,16,977
1/14/2013,17,1209
1/14/2013,18,1314
1/14/2013,19,1115
1/14/2013,23,1138
1/14/2013,24,2341
1/14/2013,25,664
1/14/2013,26,758
1/14/2013,27,1005
1/14/2013,28,754
1/14/2013,30,690
1/14/2013,31,1181
1/14/2013,32,644
1/14/2013,33,1008
1/14/2013,34,2246
1/14/2013,35,579
1/14/2013,37,1305
1/14/2013,38,1502
1/14/2013,39,1248
1/14/2013,40,1109
1/14/2013,41,739
1/14/2013,43,1091
1/14/2013,44,3450
1/14/2013,45,2937
1/14/2013,46,2780
1/14/2013,47,3145
1/14/2013,48,2223
1/14/2013,49,1525
1/14/2013,50,2150
1/14/2013,51,1491
1/14/2013,54,759
1/15/2013,1,1680
1/15/2013,2,1806
1/15/2013,3,2757
1/15/2013,4,1385
1/15/2013,5,1450
1/15/2013,6,1619
1/15/2013,7,1603
1/15/2013,8,2558
1/15/2013,9,2163
1/15/2013,10,1070
1/15/2013,11,2152
1/15/2013,12,1180
1/15/2013,13,871
1/15/2013,14,1554
1/15/2013,15,1319
1/15/2013,16,1001
1/15/2013,17,1216
1/15/2013,18,1350
1/15/2013,19,1042
1/15/2013,23,1075
1/15/2013,24,2338
1/15/2013,25,644
1/15/2013,26,787
1/15/2013,27,953
1/15/2013,28,846
1/15/2013,30,754
1/15/2013,31,1184
1/15/2013,32,683
1/15/2013,33,1062
1/15/2013,34,2285
1/15/2013,35,619
1/15/2013,37,1406
1/15/2013,38,1395
1/15/2013,39,1318
1/15/2013,40,1153
1/15/2013,41,693
1/15/2013,43,1123
1/15/2013,44,3527
1/15/2013,45,3016
1/15/2013,46,2973
1/15/2013,47,3305
1/15/2013,48,2275
1/15/2013,49,1571
1/15/2013,50,2001
1/15/2013,51,1604
1/15/2013,54,768
1/16/2013,1,1933
1/16/2013,2,1988
1/16/2013,3,3108
1/16/2013,4,1557
1/16/2013,5,1461
1/16/2013,6,1677
1/16/2013,7,1619
1/16/2013,8,2820
1/16/2013,9,1981
1/16/2013,10,973
1/16/2013,11,2060
1/16/2013,12,1068
1/16/2013,13,767
1/16/2013,14,1406
1/16/2013,15,1222
1/16/2013,16,782
1/16/2013,17,1127
1/16/2013,18,1313
1/16/2013,19,986
1/16/2013,23,1124
1/16/2013,24,2555
1/16/2013,25,775
1/16/2013,26,786
1/16/2013,27,1070
1/16/2013,28,678
1/16/2013,30,678
1/16/2013,31,1096
1/16/2013,32,648
1/16/2013,33,1010
1/16/2013,34,2218
1/16/2013,35,597
1/16/2013,37,1495
1/16/2013,38,1483
1/16/2013,39,1047
1/16/2013,40,978
1/16/2013,41,736
1/16/2013,43,1037
1/16/2013,44,4026
1/16/2013,45,3183
1/16/2013,46,3034
1/16/2013,47,3406
1/16/2013,48,2343
1/16/2013,49,1780
1/16/2013,50,2302
1/16/2013,51,1852
1/16/2013,54,686
1/17/2013,1,1786
1/17/2013,2,1672
1/17/2013,3,2653
1/17/2013,4,1296
1/17/2013,5,1458
1/17/2013,6,1547
1/17/2013,7,1565
1/17/2013,8,2591
1/17/2013,9,1932
1/17/2013,10,960
1/17/2013,11,2167
1/17/2013,12,1186
1/17/2013,13,794
1/17/2013,14,1420
1/17/2013,15,1274
1/17/2013,16,973
1/17/2013,17,1128
1/17/2013,18,1249
1/17/2013,19,977
1/17/2013,23,1089
1/17/2013,24,2557
1/17/2013,25,640
1/17/2013,26,818
1/17/2013,27,1037
1/17/2013,28,820
1/17/2013,30,790
1/17/2013,31,1161
1/17/2013,32,726
1/17/2013,33,961
1/17/2013,34,2315
1/17/2013,35,555
1/17/2013,37,1258
1/17/2013,38,1342
1/17/2013,39,1194
1/17/2013,40,942
1/17/2013,41,728
1/17/2013,43,1011
1/17/2013,44,3412
1/17/2013,45,2773
1/17/2013,46,2807
1/17/2013,47,3217
1/17/2013,48,2234
1/17/2013,49,1568
1/17/2013,50,2012
1/17/2013,51,1551
1/17/2013,54,727
1/18/2013,1,1745
1/18/2013,2,1901
1/18/2013,3,2936
1/18/2013,4,1493
1/18/2013,5,1378
1/18/2013,6,1548
1/18/2013,7,1749
1/18/2013,8,2766
1/18/2013,9,1639
1/18/2013,10,852
1/18/2013,11,2133
1/18/2013,12,1039
1/18/2013,13,803
1/18/2013,14,1305
1/18/2013,15,1157
1/18/2013,16,906
1/18/2013,17,1035
1/18/2013,18,1209
1/18/2013,19,923
1/18/2013,23,1071
1/18/2013,24,2559
1/18/2013,25,971
1/18/2013,26,822
1/18/2013,27,1034
1/18/2013,28,709
1/18/2013,30,696
1/18/2013,31,1044
1/18/2013,32,619
1/18/2013,33,860
1/18/2013,34,2510
1/18/2013,35,519
1/18/2013,37,1458
1/18/2013,38,1591
1/18/2013,39,1162
1/18/2013,40,944
1/18/2013,41,727
1/18/2013,43,1323
1/18/2013,44,3801
1/18/2013,45,3263
1/18/2013,46,2907
1/18/2013,47,3302
1/18/2013,48,2341
1/18/2013,49,1804
1/18/2013,50,2242
1/18/2013,51,1796
1/18/2013,54,779
1/19/2013,1,1389
1/19/2013,2,2043
1/19/2013,3,3453
1/19/2013,4,1705
1/19/2013,5,1517
1/19/2013,6,2132
1/19/2013,7,1581
1/19/2013,8,2944
1/19/2013,9,2336
1/19/2013,10,1372
1/19/2013,11,2569
1/19/2013,12,1319
1/19/2013,13,1140
1/19/2013,14,2031
1/19/2013,15,1390
1/19/2013,16,1022
1/19/2013,17,1440
1/19/2013,18,1362
1/19/2013,19,1735
1/19/2013,23,1231
1/19/2013,24,2487
1/19/2013,25,1494
1/19/2013,26,961
1/19/2013,27,1382
1/19/2013,28,996
1/19/2013,30,715
1/19/2013,31,1386
1/19/2013,32,770
1/19/2013,33,1201
1/19/2013,34,2695
1/19/2013,35,816
1/19/2013,37,1630
1/19/2013,38,2154
1/19/2013,39,1633
1/19/2013,40,1034
1/19/2013,41,952
1/19/2013,43,1127
1/19/2013,44,4656
1/19/2013,45,3984
1/19/2013,46,4372
1/19/2013,47,4377
1/19/2013,48,3392
1/19/2013,49,2469
1/19/2013,50,3426
1/19/2013,51,1830
1/19/2013,54,908
1/20/2013,1,507
1/20/2013,2,2006
1/20/2013,3,3466
1/20/2013,4,1742
1/20/2013,5,1596
1/20/2013,6,2202
1/20/2013,7,1368
1/20/2013,8,2755
1/20/2013,9,2427
1/20/2013,10,1162
1/20/2013,11,2597
1/20/2013,12,1211
1/20/2013,13,947
1/20/2013,14,1333
1/20/2013,15,1110
1/20/2013,16,1184
1/20/2013,17,1419
1/20/2013,18,1347
1/20/2013,19,1142
1/20/2013,23,1099
1/20/2013,24,1908
1/20/2013,25,816
1/20/2013,26,986
1/20/2013,27,1515
1/20/2013,28,1179
1/20/2013,30,616
1/20/2013,31,1389
1/20/2013,32,801
1/20/2013,33,1133
1/20/2013,34,2324
1/20/2013,35,697
1/20/2013,37,1233
1/20/2013,38,2294
1/20/2013,39,1582
1/20/2013,40,924
1/20/2013,41,1020
1/20/2013,43,1061
1/20/2013,44,4732
1/20/2013,45,4169
1/20/2013,46,4696
1/20/2013,47,4877
1/20/2013,48,4044
1/20/2013,49,2536
1/20/2013,50,3195
1/20/2013,51,1756
1/20/2013,54,1178
1/21/2013,1,1770
1/21/2013,2,1864
1/21/2013,3,2930
1/21/2013,4,1458
1/21/2013,5,1506
1/21/2013,6,1602
1/21/2013,7,1649
1/21/2013,8,2688
1/21/2013,9,2149
1/21/2013,10,1200
1/21/2013,11,2200
1/21/2013,12,1156
1/21/2013,13,864
1/21/2013,14,1934
1/21/2013,15,1439
1/21/2013,16,1000
1/21/2013,17,1310
1/21/2013,18,1306
1/21/2013,19,1158
1/21/2013,23,1161
1/21/2013,24,2391
1/21/2013,25,754
1/21/2013,26,730
1/21/2013,27,1018
1/21/2013,28,708
1/21/2013,30,692
1/21/2013,31,1184
1/21/2013,32,667
1/21/2013,33,1046
1/21/2013,34,2379
1/21/2013,35,509
1/21/2013,37,1370
1/21/2013,38,1414
1/21/2013,39,1325
1/21/2013,40,1169
1/21/2013,41,715
1/21/2013,43,1124
1/21/2013,44,3508
1/21/2013,45,3134
1/21/2013,46,3186
1/21/2013,47,3335
1/21/2013,48,2428
1/21/2013,49,1557
1/21/2013,50,2227
1/21/2013,51,1548
1/21/2013,54,788
1/22/2013,1,1762
1/22/2013,2,1794
1/22/2013,3,2721
1/22/2013,4,1285
1/22/2013,5,1459
1/22/2013,6,1584
1/22/2013,7,1583
1/22/2013,8,2491
1/22/2013,9,1949
1/22/2013,10,1109
1/22/2013,11,2128
1/22/2013,12,1145
1/22/2013,13,903
1/22/2013,14,1558
1/22/2013,15,1270
1/22/2013,16,933
1/22/2013,17,1310
1/22/2013,18,1362
1/22/2013,19,1017
1/22/2013,23,1085
1/22/2013,24,2293
1/22/2013,25,692
1/22/2013,26,690
1/22/2013,27,969
1/22/2013,28,819
1/22/2013,30,752
1/22/2013,31,1185
1/22/2013,32,668
1/22/2013,33,1096
1/22/2013,34,2221
1/22/2013,35,627
1/22/2013,37,1299
1/22/2013,38,1317
1/22/2013,39,1258
1/22/2013,40,1017
1/22/2013,41,646
1/22/2013,43,1055
1/22/2013,44,3349
1/22/2013,45,2759
1/22/2013,46,2786
1/22/2013,47,2973
1/22/2013,48,2130
1/22/2013,49,1500
1/22/2013,50,2182
1/22/2013,51,1489
1/22/2013,54,768
1/23/2013,1,1873
1/23/2013,2,1951
1/23/2013,3,2911
1/23/2013,4,1465
1/23/2013,5,1461
1/23/2013,6,1740
1/23/2013,7,1657
1/23/2013,8,2625
1/23/2013,9,1741
1/23/2013,10,1023
1/23/2013,11,2063
1/23/2013,12,1142
1/23/2013,13,797
1/23/2013,14,1490
1/23/2013,15,1245
1/23/2013,16,908
1/23/2013,17,1082
1/23/2013,18,1231
1/23/2013,19,1078
1/23/2013,23,1178
1/23/2013,24,2501
1/23/2013,25,795
1/23/2013,26,681
1/23/2013,27,1034
1/23/2013,28,674
1/23/2013,30,655
1/23/2013,31,952
1/23/2013,32,565
1/23/2013,33,1011
1/23/2013,34,2071
1/23/2013,35,538
1/23/2013,37,1437
1/23/2013,38,1495
1/23/2013,39,1094
1/23/2013,40,886
1/23/2013,41,722
1/23/2013,43,1019
1/23/2013,44,3704
1/23/2013,45,2872
1/23/2013,46,2901
1/23/2013,47,3207
1/23/2013,48,2179
1/23/2013,49,1606
1/23/2013,50,2186
1/23/2013,51,1683
1/23/2013,54,690
1/24/2013,1,1616
1/24/2013,2,1691
1/24/2013,3,2503
1/24/2013,4,1245
1/24/2013,5,1319
1/24/2013,6,1432
1/24/2013,7,1523
1/24/2013,8,2482
1/24/2013,9,1730
1/24/2013,10,883
1/24/2013,11,2004
1/24/2013,12,1057
1/24/2013,13,746
1/24/2013,14,1456
1/24/2013,15,1178
1/24/2013,16,857
1/24/2013,17,990
1/24/2013,18,1222
1/24/2013,19,861
1/24/2013,23,1056
1/24/2013,24,2275
1/24/2013,25,691
1/24/2013,26,660
1/24/2013,27,976
1/24/2013,28,701
1/24/2013,30,682
1/24/2013,31,1067
1/24/2013,32,680
1/24/2013,33,862
1/24/2013,34,2043
1/24/2013,35,511
1/24/2013,37,1245
1/24/2013,38,1224
1/24/2013,39,1072
1/24/2013,40,923
1/24/2013,41,693
1/24/2013,43,970
1/24/2013,44,3121
1/24/2013,45,2592
1/24/2013,46,2623
1/24/2013,47,2738
1/24/2013,48,1972
1/24/2013,49,1468
1/24/2013,50,2011
1/24/2013,51,1437
1/24/2013,54,617
1/25/2013,1,1770
1/25/2013,2,1949
1/25/2013,3,2943
1/25/2013,4,1498
1/25/2013,5,1447
1/25/2013,6,1620
1/25/2013,7,1758
1/25/2013,8,2748
1/25/2013,9,1710
1/25/2013,10,938
1/25/2013,11,2029
1/25/2013,12,1043
1/25/2013,13,780
1/25/2013,14,1405
1/25/2013,15,1189
1/25/2013,16,890
1/25/2013,17,1043
1/25/2013,18,1190
1/25/2013,19,944
1/25/2013,23,1144
1/25/2013,24,2586
1/25/2013,25,1041
1/25/2013,26,694
1/25/2013,27,1003
1/25/2013,28,676
1/25/2013,30,711
1/25/2013,31,1067
1/25/2013,32,679
1/25/2013,33,815
1/25/2013,34,2472
1/25/2013,35,584
1/25/2013,37,1500
1/25/2013,38,1473
1/25/2013,39,1090
1/25/2013,40,892
1/25/2013,41,750
1/25/2013,43,1286
1/25/2013,44,3751
1/25/2013,45,3172
1/25/2013,46,3109
1/25/2013,47,3213
1/25/2013,48,2262
1/25/2013,49,1805
1/25/2013,50,2264
1/25/2013,51,1709
1/25/2013,54,631
1/26/2013,1,1295
1/26/2013,2,1993
1/26/2013,3,3394
1/26/2013,4,1750
1/26/2013,5,1540
1/26/2013,6,2026
1/26/2013,7,1606
1/26/2013,8,2854
1/26/2013,9,2304
1/26/2013,10,1393
1/26/2013,11,2361
1/26/2013,12,1274
1/26/2013,13,1196
1/26/2013,14,1969
1/26/2013,15,1390
1/26/2013,16,1105
1/26/2013,17,1557
1/26/2013,18,1296
1/26/2013,19,1646
1/26/2013,23,1203
1/26/2013,24,2358
1/26/2013,25,1635
1/26/2013,26,862
1/26/2013,27,1341
1/26/2013,28,963
1/26/2013,30,751
1/26/2013,31,1313
1/26/2013,32,867
1/26/2013,33,949
1/26/2013,34,2715
1/26/2013,35,752
1/26/2013,37,1477
1/26/2013,38,2280
1/26/2013,39,1637
1/26/2013,40,1055
1/26/2013,41,978
1/26/2013,43,1147
1/26/2013,44,4812
1/26/2013,45,4168
1/26/2013,46,4364
1/26/2013,47,4363
1/26/2013,48,3628
1/26/2013,49,2503
1/26/2013,50,3221
1/26/2013,51,1814
1/26/2013,54,917
1/27/2013,1,542
1/27/2013,2,1937
1/27/2013,3,3355
1/27/2013,4,1799
1/27/2013,5,1412
1/27/2013,6,2101
1/27/2013,7,1299
1/27/2013,8,2715
1/27/2013,9,2226
1/27/2013,10,1155
1/27/2013,11,2539
1/27/2013,12,1190
1/27/2013,13,901
1/27/2013,14,1266
1/27/2013,15,1078
1/27/2013,16,1180
1/27/2013,17,1372
1/27/2013,18,1387
1/27/2013,19,1266
1/27/2013,23,1107
1/27/2013,24,1813
1/27/2013,25,845
1/27/2013,26,890
1/27/2013,27,1534
1/27/2013,28,1131
1/27/2013,30,622
1/27/2013,31,1204
1/27/2013,32,702
1/27/2013,33,1165
1/27/2013,34,2381
1/27/2013,35,650
1/27/2013,37,1204
1/27/2013,38,2331
1/27/2013,39,1603
1/27/2013,40,954
1/27/2013,41,1126
